Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-July-2024,1800.00,1823.15,1793.75,1810.55,1808.765602608094914557,175147,7151,316799869.00,64409,36.77,29.40,10.55
19-July-2024,1842.05,1843.00,1786.00,1792.85,1807.607490825807774957,1647829,49938,2978628044.00,831418,50.46,57.00,-49.20
18-July-2024,1724.95,1764.95,1720.75,1759.15,1745.714448609537093540,286775,13203,500627261.00,104991,36.61,44.20,34.20
16-July-2024,1713.20,1737.50,1699.30,1725.80,1723.685939691973511532,265172,14429,457073248.00,152749,57.60,38.20,12.60
15-July-2024,1715.30,1728.10,1702.25,1707.20,1715.680817595282188192,319131,15347,547526935.00,157162,49.25,25.85,-8.10
12-July-2024,1675.05,1719.00,1666.85,1712.00,1700.772831459972767670,1025252,50290,1743720747.00,494566,48.24,52.15,36.95
11-July-2024,1655.00,1665.00,1642.25,1653.05,1653.853686558464849354,178432,7924,295100421.00,88349,49.51,22.75,-1.95
10-July-2024,1657.50,1674.00,1637.55,1647.70,1653.281702686231306549,255972,14070,423193824.00,156715,61.22,36.45,-9.80
9-July-2024,1659.00,1666.00,1650.40,1657.25,1660.064585669205784101,173026,9539,287234335.00,119166,68.87,15.60,-1.75
8-July-2024,1642.00,1666.00,1640.00,1661.65,1655.504766218732699179,99345,5692,164466121.00,42423,42.70,26.00,19.65
5-July-2024,1649.55,1665.00,1633.20,1647.20,1650.350226670427952178,503374,24052,830743395.00,59234,11.77,31.80,-2.35
4-July-2024,1627.65,1659.15,1627.60,1649.15,1652.178574206785231571,411364,23125,679646787.00,268884,65.36,31.55,21.50
3-July-2024,1624.95,1635.50,1606.25,1627.60,1622.636847789963443004,120360,4933,195300571.00,45155,37.52,29.25,2.65
2-July-2024,1598.00,1633.80,1589.00,1621.00,1618.739702194003208531,221285,10618,358202815.00,106826,48.28,44.80,23.00
1-July-2024,1561.05,1599.85,1559.20,1589.75,1587.790917881447154768,438488,23938,696227264.00,250324,57.09,40.65,28.70
28-June-2024,1571.10,1588.00,1564.00,1566.95,1572.568545762994688099,719140,36624,1130896944.00,216049,30.04,24.00,-4.15
27-June-2024,1540.00,1577.50,1532.20,1573.50,1565.059250620803021824,914944,34705,1431941571.00,620443,67.81,45.30,33.50
26-June-2024,1540.00,1548.95,1535.35,1541.35,1542.578637049225284519,182325,5788,281250650.00,116268,63.77,13.60,1.35
25-June-2024,1526.00,1543.75,1521.65,1541.30,1531.995802220399007155,481445,15923,737571719.00,206448,42.88,22.10,15.30
24-June-2024,1526.25,1528.80,1516.60,1527.25,1523.613854498020459070,218485,7386,332886773.00,177393,81.19,12.20,1.00
21-June-2024,1531.05,1557.75,1523.45,1531.70,1536.303373202664814671,971925,36296,1493171656.00,229879,23.65,34.30,0.65
20-June-2024,1513.05,1517.10,1499.25,1515.30,1509.908539981270704328,242401,7015,366003340.00,176271,72.72,17.85,2.25
19-June-2024,1502.45,1515.95,1496.55,1511.35,1506.633981489476948197,254774,8550,383851166.00,159992,62.80,19.40,8.90
18-June-2024,1488.95,1507.65,1488.95,1497.85,1501.257577999145214846,121668,4654,182655007.00,64338,52.88,18.70,8.90
14-June-2024,1500.05,1501.00,1486.00,1488.55,1489.798793732545324197,280369,12658,417693398.00,160043,57.08,15.00,-11.50
13-June-2024,1498.00,1505.00,1489.75,1494.25,1495.483894206999816364,212377,8210,317606383.00,139137,65.51,15.25,-3.75
12-June-2024,1503.00,1508.95,1483.05,1485.00,1496.503499845278244554,255297,9451,382052854.00,164337,64.37,25.90,-18.00
11-June-2024,1504.95,1506.55,1494.00,1495.60,1501.879261452583931941,111787,4562,167890577.00,57186,51.16,12.55,-9.35
10-June-2024,1528.85,1528.85,1497.90,1499.65,1504.661553919748367226,228905,9809,344424553.00,143845,62.84,30.95,-29.20
7-June-2024,1475.15,1539.00,1475.15,1533.35,1524.467151397418592465,2034394,88607,3101366826.00,1005276,49.41,63.85,58.20
6-June-2024,1442.55,1474.00,1437.40,1472.50,1459.065470291818143536,712430,33632,1039482013.00,429812,60.33,36.60,29.95
5-June-2024,1400.00,1438.00,1400.00,1430.25,1423.514253530718338355,505138,26861,719071143.00,283280,56.08,38.00,30.25
4-June-2024,1411.95,1412.95,1359.10,1394.40,1395.491815053060967474,1016378,57135,1418347180.00,542927,53.42,53.85,-17.55
3-June-2024,1435.15,1439.05,1404.00,1405.90,1410.760004169546945806,182274,8146,257144869.00,87901,48.22,35.05,-29.25
31-May-2024,1413.00,1436.50,1400.00,1406.25,1415.409206710239777346,692017,28966,979487233.00,211695,30.59,36.50,-6.75
30-May-2024,1447.95,1449.90,1421.70,1425.75,1431.612810250995675700,515228,26582,737607005.00,294538,57.17,28.20,-22.20
29-May-2024,1469.95,1469.95,1448.70,1451.60,1455.688615139689750907,206028,6672,299912614.00,150752,73.17,21.25,-18.35
28-May-2024,1477.00,1477.00,1461.00,1466.20,1470.108817563536570814,368764,10101,542123208.00,288420,78.21,16.00,-10.80
