DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,52W H,52W L,VOLUME,VALUE,NO. OF  TRADES
06-Mar-25,EQ,"1,715.00","1,722.30","1,691.10","1,711.50","1,712.00","1,715.85","1,709.66","2,006.45","1,358.35",10610547,"18,14,03,99,842.70",236281
05-Mar-25,EQ,"1,692.45","1,732.95","1,692.45","1,688.30","1,707.00","1,711.50","1,714.51","2,006.45","1,358.35",8180782,"14,02,60,24,448.60",184308
04-Mar-25,EQ,"1,695.00","1,699.00","1,670.00","1,708.60","1,684.00","1,688.30","1,686.14","2,006.45","1,358.35",6759673,"11,39,77,44,323.60",244487
03-Mar-25,EQ,"1,692.30","1,728.60","1,692.30","1,687.70","1,711.00","1,708.60","1,711.06","2,006.45","1,358.35",7504969,"12,84,14,55,573.45",286660
28-Feb-25,EQ,"1,755.05","1,755.10","1,682.45","1,764.30","1,693.00","1,687.70","1,694.54","2,006.45","1,358.35",12182167,"20,64,31,37,452.85",460200
27-Feb-25,EQ,"1,755.20","1,775.85","1,751.10","1,767.70","1,763.00","1,764.30","1,763.43","2,006.45","1,358.35",5757079,"10,15,21,84,052.30",168385
25-Feb-25,EQ,"1,745.15","1,778.45","1,745.15","1,764.10","1,766.75","1,767.70","1,766.12","2,006.45","1,358.35",5092963,"8,99,47,61,660.15",192822
24-Feb-25,EQ,"1,800.05","1,808.00","1,750.25","1,815.00","1,763.00","1,764.10","1,766.73","2,006.45","1,358.35",7594720,"13,41,78,27,673.25",362392
21-Feb-25,EQ,"1,821.80","1,829.85","1,806.20","1,825.15","1,815.00","1,815.00","1,817.56","2,006.45","1,358.35",3379879,"6,14,31,29,066.35",101664
20-Feb-25,EQ,"1,805.55","1,831.00","1,805.55","1,810.80","1,826.00","1,825.15","1,822.29","2,006.45","1,358.35",2218020,"4,04,18,74,473.40",116360
19-Feb-25,EQ,"1,847.40","1,849.20","1,805.90","1,851.95","1,810.85","1,810.80","1,820.83","2,006.45","1,358.35",4611411,"8,39,65,92,012.20",214412
18-Feb-25,EQ,"1,842.30","1,861.65","1,837.60","1,842.30","1,848.00","1,851.95","1,848.81","2,006.45","1,358.35",4365260,"8,07,05,46,827.05",100362
17-Feb-25,EQ,"1,838.55","1,852.75","1,822.15","1,856.40","1,843.05","1,842.30","1,838.63","2,006.45","1,358.35",4428956,"8,14,32,13,452.30",149656
14-Feb-25,EQ,"1,854.00","1,859.30","1,828.35","1,843.25","1,853.00","1,856.40","1,845.06","2,006.45","1,358.35",5292961,"9,76,58,18,737.55",179989
