Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
27-March-2023,3123.85,3151.95,3105.85,3120.10,3133.706350332022435690,77555,9873,243034596.00,42632,54.97,46.10,-3.75
24-March-2023,3145.00,3169.70,3108.80,3121.45,3145.702826672782523937,34882,3684,109728406.00,10010,28.70,60.90,-23.55
23-March-2023,3117.00,3144.00,3100.80,3124.00,3125.722617836554764326,26541,3337,82959804.00,11982,45.15,43.20,7.00
22-March-2023,3121.35,3143.60,3106.10,3130.70,3123.379897218863361547,33080,3839,103321407.00,11104,33.57,37.50,9.35
21-March-2023,3145.00,3155.00,3097.00,3105.90,3118.486273364485981308,34240,4726,106776970.00,19359,56.54,58.00,-39.10
20-March-2023,3173.50,3173.50,3096.10,3141.20,3125.016855212208640194,52684,7155,164638388.00,28993,55.03,77.40,-32.30
17-March-2023,3151.00,3220.00,3145.00,3178.95,3206.860805806492269254,269767,8404,865105219.00,209332,77.60,75.00,27.95
16-March-2023,3196.00,3219.00,3171.45,3184.75,3189.954683237344649893,52784,5704,168378568.00,32638,61.83,47.55,-11.25
15-March-2023,3242.55,3261.20,3191.00,3198.75,3225.694879898202905806,95877,11997,309269948.00,56834,59.28,70.20,-43.80
14-March-2023,3275.55,3304.00,3210.00,3216.85,3263.492134411171837659,240605,12660,785212525.00,44773,18.61,94.00,-58.70
13-March-2023,3331.05,3369.25,3272.00,3282.40,3315.874692693480184875,81352,10626,269753038.00,40958,50.35,97.25,-48.65
10-March-2023,3311.00,3337.00,3295.00,3331.05,3316.087719298245614035,54663,8424,181267303.00,21276,38.92,42.00,20.05
9-March-2023,3389.70,3389.70,3329.00,3337.45,3351.337298374540698760,48171,4969,161437269.00,26711,55.45,60.70,-52.25
8-March-2023,3361.00,3395.00,3331.70,3389.70,3364.030252971852427687,30873,4102,103857706.00,8329,26.98,63.30,28.70
6-March-2023,3356.00,3404.00,3356.00,3371.50,3382.903939865215137376,57870,8160,195768651.00,32810,56.70,48.00,15.50
3-March-2023,3360.00,3360.00,3331.00,3342.75,3345.695094724756011992,15677,2451,52450462.00,6479,41.33,29.00,-17.25
2-March-2023,3369.95,3369.95,3318.00,3321.15,3331.614607917581628255,48727,8224,162339585.00,22810,46.81,51.95,-48.80
1-March-2023,3326.50,3389.05,3320.00,3385.85,3364.901740146344462891,48789,6825,164170191.00,19457,39.88,69.05,59.35
28-February-2023,3331.85,3392.00,3300.05,3314.15,3339.177981814940274558,56090,8199,187294493.00,19003,33.88,91.95,-17.70
